,Location1,Location,WindGustDir1,WindGustDir,WindDir9am1,WindDir9am,WindDir3pm1,WindDir3pm
74,2,Albury,10,SSE,9,SE,10,SSE
75,2,Albury,4,NE,8,S,16,
76,2,Albury,5,NNE,10,SSE,11,SSW
77,2,Albury,0,E,9,SE,2,ESE
78,2,Albury,3,N,10,SSE,1,ENE
79,2,Albury,7,NW,1,ENE,12,SW
81,2,Albury,11,SSW,6,NNW,10,SSE
82,2,Albury,10,SSE,10,SSE,8,S
83,2,Albury,7,NW,8,S,14,WNW
84,2,Albury,7,NW,9,SE,7,NW
85,2,Albury,14,WNW,12,SW,14,WNW
86,2,Albury,14,WNW,16,,15,WSW
87,2,Albury,2,ESE,2,ESE,8,S
88,2,Albury,13,W,16,,8,S
89,2,Albury,15,WSW,0,E,16,
91,2,Albury,6,NNW,8,S,1,ENE
92,2,Albury,14,WNW,4,NE,5,NNE
94,2,Albury,12,SW,15,WSW,13,W
95,2,Albury,15,WSW,16,,14,WNW
96,2,Albury,13,W,8,S,13,W
97,2,Albury,10,SSE,0,E,10,SSE
98,2,Albury,5,NNE,10,SSE,4,NE
99,2,Albury,4,NE,2,ESE,0,E
101,2,Albury,13,W,1,ENE,8,S
102,2,Albury,1,ENE,16,,8,S
103,2,Albury,12,SW,0,E,3,N
104,2,Albury,14,WNW,13,W,7,NW
105,2,Albury,13,W,8,S,14,WNW
106,2,Albury,14,WNW,10,SSE,15,WSW
107,2,Albury,7,NW,10,SSE,7,NW
108,2,Albury,15,WSW,8,S,12,SW
109,2,Albury,10,SSE,4,NE,3,N
110,2,Albury,6,NNW,16,,5,NNE
111,2,Albury,4,NE,0,E,5,NNE
112,2,Albury,7,NW,16,,14,WNW
113,2,Albury,8,S,10,SSE,14,WNW
114,2,Albury,1,ENE,10,SSE,10,SSE
116,2,Albury,14,WNW,16,,13,W
117,2,Albury,6,NNW,3,N,3,N
118,2,Albury,8,S,16,,9,SE
119,2,Albury,1,ENE,16,,9,SE
120,2,Albury,15,WSW,8,S,11,SSW
121,2,Albury,9,SE,16,,1,ENE
122,2,Albury,4,NE,16,,1,ENE
123,2,Albury,13,W,0,E,5,NNE
124,2,Albury,13,W,16,,15,WSW
125,2,Albury,15,WSW,0,E,7,NW
126,2,Albury,13,W,10,SSE,15,WSW
127,2,Albury,9,SE,8,S,8,S
128,2,Albury,10,SSE,10,SSE,10,SSE
129,2,Albury,1,ENE,2,ESE,8,S
130,2,Albury,13,W,9,SE,4,NE
131,2,Albury,13,W,8,S,0,E
132,2,Albury,15,WSW,16,,9,SE
133,2,Albury,5,NNE,1,ENE,11,SSW
135,2,Albury,13,W,7,NW,13,W
136,2,Albury,13,W,16,,14,WNW
137,2,Albury,14,WNW,1,ENE,13,W
139,2,Albury,9,SE,9,SE,9,SE
140,2,Albury,10,SSE,9,SE,9,SE
141,2,Albury,2,ESE,1,ENE,10,SSE
142,2,Albury,2,ESE,16,,12,SW
143,2,Albury,4,NE,16,,4,NE
144,2,Albury,14,WNW,2,ESE,5,NNE
145,2,Albury,13,W,14,WNW,6,NNW
146,2,Albury,6,NNW,7,NW,14,WNW
150,2,Albury,12,SW,16,,12,SW
151,2,Albury,12,SW,16,,15,WSW
152,2,Albury,12,SW,1,ENE,13,W
153,2,Albury,8,S,3,N,10,SSE
154,2,Albury,13,W,1,ENE,15,WSW
155,2,Albury,2,ESE,16,,9,SE
156,2,Albury,12,SW,1,ENE,14,WNW
157,2,Albury,12,SW,9,SE,14,WNW
158,2,Albury,13,W,16,,13,W
160,2,Albury,9,SE,16,,9,SE
161,2,Albury,2,ESE,6,NNW,8,S
162,2,Albury,13,W,1,ENE,14,WNW
163,2,Albury,14,WNW,9,SE,13,W
164,2,Albury,14,WNW,14,WNW,14,WNW
165,2,Albury,14,WNW,7,NW,7,NW
167,2,Albury,13,W,0,E,0,E
168,2,Albury,0,E,16,,1,ENE
169,2,Albury,10,SSE,16,,10,SSE
170,2,Albury,0,E,10,SSE,1,ENE
172,2,Albury,9,SE,8,S,9,SE
173,2,Albury,0,E,4,NE,9,SE
175,2,Albury,4,NE,9,SE,4,NE
176,2,Albury,0,E,0,E,10,SSE
178,2,Albury,10,SSE,16,,8,S
181,2,Albury,7,NW,16,,9,SE
182,2,Albury,9,SE,16,,16,
183,2,Albury,9,SE,16,,2,ESE
184,2,Albury,9,SE,1,ENE,9,SE
185,2,Albury,1,ENE,7,NW,0,E
186,2,Albury,13,W,5,NNE,13,W
187,2,Albury,2,ESE,0,E,16,
188,2,Albury,6,NNW,6,NNW,6,NNW
190,2,Albury,13,W,6,NNW,14,WNW
191,2,Albury,14,WNW,13,W,15,WSW
193,2,Albury,2,ESE,0,E,10,SSE
194,2,Albury,1,ENE,0,E,4,NE
195,2,Albury,5,NNE,16,,4,NE
196,2,Albury,2,ESE,5,NNE,16,
199,2,Albury,3,N,3,N,16,
200,2,Albury,2,ESE,4,NE,9,SE
201,2,Albury,5,NNE,4,NE,4,NE
202,2,Albury,1,ENE,7,NW,1,ENE
203,2,Albury,9,SE,9,SE,1,ENE
204,2,Albury,13,W,1,ENE,10,SSE
205,2,Albury,2,ESE,2,ESE,9,SE
206,2,Albury,6,NNW,2,ESE,3,N
207,2,Albury,9,SE,2,ESE,2,ESE
209,2,Albury,13,W,15,WSW,6,NNW
210,2,Albury,4,NE,4,NE,5,NNE
211,2,Albury,7,NW,4,NE,4,NE
212,2,Albury,7,NW,3,N,7,NW
213,2,Albury,14,WNW,7,NW,14,WNW
217,2,Albury,1,ENE,5,NNE,15,WSW
219,2,Albury,0,E,16,,2,ESE
221,2,Albury,0,E,16,,10,SSE
223,2,Albury,6,NNW,10,SSE,6,NNW
224,2,Albury,14,WNW,3,N,6,NNW
225,2,Albury,13,W,3,N,11,SSW
226,2,Albury,15,WSW,1,ENE,16,
228,2,Albury,3,N,5,NNE,12,SW
229,2,Albury,3,N,16,,3,N
230,2,Albury,5,NNE,2,ESE,4,NE
231,2,Albury,7,NW,16,,3,N
232,2,Albury,3,N,1,ENE,1,ENE
233,2,Albury,13,W,1,ENE,6,NNW
235,2,Albury,7,NW,16,,6,NNW
237,2,Albury,10,SSE,16,,0,E
238,2,Albury,3,N,1,ENE,6,NNW
241,2,Albury,6,NNW,16,,14,WNW
244,2,Albury,6,NNW,12,SW,6,NNW
245,2,Albury,6,NNW,13,W,14,WNW
246,2,Albury,10,SSE,16,,1,ENE
247,2,Albury,5,NNE,1,ENE,8,S
248,2,Albury,3,N,16,,4,NE
249,2,Albury,14,WNW,14,WNW,15,WSW
250,2,Albury,14,WNW,0,E,15,WSW
251,2,Albury,2,ESE,8,S,0,E
252,2,Albury,9,SE,10,SSE,9,SE
253,2,Albury,5,NNE,0,E,6,NNW
254,2,Albury,13,W,10,SSE,7,NW
255,2,Albury,7,NW,7,NW,3,N
257,2,Albury,5,NNE,9,SE,4,NE
258,2,Albury,13,W,4,NE,1,ENE
260,2,Albury,14,WNW,16,,8,S
261,2,Albury,0,E,4,NE,8,S
262,2,Albury,3,N,2,ESE,3,N
263,2,Albury,14,WNW,5,NNE,15,WSW
264,2,Albury,4,NE,9,SE,5,NNE
265,2,Albury,5,NNE,1,ENE,5,NNE
266,2,Albury,14,WNW,6,NNW,7,NW
267,2,Albury,13,W,13,W,7,NW
268,2,Albury,7,NW,6,NNW,7,NW
269,2,Albury,3,N,1,ENE,3,N
270,2,Albury,6,NNW,2,ESE,0,E
271,2,Albury,13,W,4,NE,13,W
273,2,Albury,7,NW,7,NW,7,NW
274,2,Albury,14,WNW,14,WNW,13,W
275,2,Albury,2,ESE,2,ESE,0,E
277,2,Albury,7,NW,2,ESE,14,WNW
278,2,Albury,14,WNW,2,ESE,7,NW
280,2,Albury,13,W,1,ENE,13,W
283,2,Albury,16,,0,E,14,WNW
284,2,Albury,3,N,9,SE,5,NNE
286,2,Albury,5,NNE,0,E,14,WNW
287,2,Albury,12,SW,4,NE,6,NNW
288,2,Albury,8,S,2,ESE,8,S
289,2,Albury,0,E,0,E,2,ESE
290,2,Albury,14,WNW,0,E,7,NW
291,2,Albury,14,WNW,16,,16,
292,2,Albury,6,NNW,4,NE,14,WNW
294,2,Albury,4,NE,2,ESE,1,ENE
295,2,Albury,5,NNE,6,NNW,3,N
297,2,Albury,7,NW,14,WNW,7,NW
298,2,Albury,6,NNW,5,NNE,3,N
300,2,Albury,13,W,14,WNW,13,W
302,2,Albury,7,NW,0,E,14,WNW
303,2,Albury,6,NNW,0,E,5,NNE
304,2,Albury,11,SSW,3,N,8,S
305,2,Albury,9,SE,8,S,11,SSW
306,2,Albury,10,SSE,2,ESE,2,ESE
307,2,Albury,5,NNE,16,,9,SE
308,2,Albury,13,W,16,,12,SW
309,2,Albury,9,SE,1,ENE,10,SSE
310,2,Albury,8,S,16,,11,SSW
311,2,Albury,2,ESE,0,E,9,SE
312,2,Albury,10,SSE,2,ESE,8,S
313,2,Albury,9,SE,9,SE,8,S
314,2,Albury,13,W,9,SE,5,NNE
315,2,Albury,13,W,10,SSE,4,NE
316,2,Albury,3,N,3,N,7,NW
320,2,Albury,15,WSW,9,SE,13,W
321,2,Albury,7,NW,11,SSW,2,ESE
322,2,Albury,4,NE,15,WSW,7,NW
323,2,Albury,6,NNW,9,SE,8,S
324,2,Albury,10,SSE,2,ESE,10,SSE
325,2,Albury,15,WSW,9,SE,10,SSE
326,2,Albury,14,WNW,1,ENE,12,SW
327,2,Albury,15,WSW,0,E,13,W
328,2,Albury,9,SE,15,WSW,15,WSW
329,2,Albury,9,SE,9,SE,10,SSE
330,2,Albury,1,ENE,8,S,5,NNE
331,2,Albury,13,W,9,SE,9,SE
332,2,Albury,6,NNW,9,SE,3,N
333,2,Albury,15,WSW,9,SE,8,S
334,2,Albury,10,SSE,0,E,9,SE
335,2,Albury,14,WNW,9,SE,9,SE
338,2,Albury,14,WNW,15,WSW,14,WNW
339,2,Albury,4,NE,9,SE,9,SE
340,2,Albury,10,SSE,9,SE,8,S
341,2,Albury,8,S,9,SE,8,S
342,2,Albury,10,SSE,9,SE,0,E
344,2,Albury,12,SW,9,SE,12,SW
345,2,Albury,2,ESE,10,SSE,9,SE
346,2,Albury,15,WSW,0,E,12,SW
348,2,Albury,13,W,10,SSE,11,SSW
350,2,Albury,13,W,10,SSE,8,S
352,2,Albury,3,N,8,S,13,W
353,2,Albury,7,NW,5,NNE,14,WNW
354,2,Albury,7,NW,10,SSE,14,WNW
355,2,Albury,4,NE,4,NE,10,SSE
356,2,Albury,6,NNW,16,,13,W
357,2,Albury,13,W,15,WSW,8,S
358,2,Albury,14,WNW,10,SSE,8,S
360,2,Albury,3,N,9,SE,14,WNW
361,2,Albury,3,N,4,NE,16,
362,2,Albury,13,W,14,WNW,7,NW
365,2,Albury,0,E,9,SE,9,SE
367,2,Albury,13,W,8,S,6,NNW
368,2,Albury,15,WSW,12,SW,12,SW
369,2,Albury,13,W,9,SE,15,WSW
373,2,Albury,14,WNW,11,SSW,7,NW
376,2,Albury,15,WSW,1,ENE,12,SW
377,2,Albury,12,SW,10,SSE,15,WSW
379,2,Albury,11,SSW,9,SE,8,S
380,2,Albury,6,NNW,10,SSE,5,NNE
383,2,Albury,15,WSW,10,SSE,15,WSW
384,2,Albury,6,NNW,10,SSE,2,ESE
385,2,Albury,7,NW,2,ESE,7,NW
387,2,Albury,0,E,9,SE,3,N
388,2,Albury,5,NNE,3,N,6,NNW
389,2,Albury,9,SE,16,,5,NNE
390,2,Albury,3,N,10,SSE,7,NW
391,2,Albury,1,ENE,8,S,4,NE
393,2,Albury,10,SSE,1,ENE,4,NE
394,2,Albury,3,N,8,S,4,NE
395,2,Albury,3,N,1,ENE,4,NE
396,2,Albury,5,NNE,7,NW,14,WNW
398,2,Albury,13,W,11,SSW,12,SW
399,2,Albury,12,SW,1,ENE,6,NNW
400,2,Albury,13,W,0,E,7,NW
402,2,Albury,10,SSE,4,NE,16,
404,2,Albury,13,W,2,ESE,13,W
406,2,Albury,4,NE,9,SE,6,NNW
407,2,Albury,6,NNW,8,S,6,NNW
408,2,Albury,12,SW,15,WSW,14,WNW
409,2,Albury,11,SSW,10,SSE,10,SSE
410,2,Albury,6,NNW,9,SE,4,NE
411,2,Albury,13,W,3,N,13,W
413,2,Albury,12,SW,13,W,15,WSW
415,2,Albury,13,W,10,SSE,14,WNW
417,2,Albury,6,NNW,9,SE,6,NNW
418,2,Albury,15,WSW,14,WNW,13,W
419,2,Albury,11,SSW,10,SSE,14,WNW
421,2,Albury,15,WSW,16,,15,WSW
422,2,Albury,13,W,8,S,15,WSW
423,2,Albury,7,NW,9,SE,14,WNW
424,2,Albury,10,SSE,9,SE,5,NNE
425,2,Albury,4,NE,10,SSE,7,NW
426,2,Albury,4,NE,1,ENE,0,E
427,2,Albury,0,E,8,S,10,SSE
428,2,Albury,1,ENE,10,SSE,4,NE
429,2,Albury,0,E,10,SSE,2,ESE
430,2,Albury,6,NNW,1,ENE,16,
433,2,Albury,9,SE,9,SE,0,E
434,2,Albury,6,NNW,2,ESE,2,ESE
435,2,Albury,16,,1,ENE,12,SW
436,2,Albury,11,SSW,16,,8,S
437,2,Albury,16,,10,SSE,0,E
438,2,Albury,12,SW,16,,6,NNW
439,2,Albury,4,NE,0,E,4,NE
441,2,Albury,2,ESE,11,SSW,9,SE
442,2,Albury,9,SE,10,SSE,0,E
443,2,Albury,16,,9,SE,11,SSW
444,2,Albury,2,ESE,10,SSE,11,SSW
446,2,Albury,7,NW,9,SE,3,N
447,2,Albury,11,SSW,9,SE,9,SE
448,2,Albury,0,E,1,ENE,7,NW
449,2,Albury,13,W,13,W,10,SSE
452,2,Albury,16,,4,NE,0,E
455,2,Albury,16,,9,SE,10,SSE
456,2,Albury,10,SSE,9,SE,2,ESE
457,2,Albury,1,ENE,16,,1,ENE
458,2,Albury,16,,9,SE,8,S
459,2,Albury,4,NE,4,NE,4,NE
460,2,Albury,15,WSW,13,W,3,N
461,2,Albury,9,SE,7,NW,0,E
463,2,Albury,7,NW,14,WNW,14,WNW
464,2,Albury,16,,10,SSE,10,SSE
466,2,Albury,5,NNE,8,S,13,W
467,2,Albury,9,SE,16,,0,E
468,2,Albury,9,SE,10,SSE,10,SSE
469,2,Albury,0,E,16,,11,SSW
470,2,Albury,1,ENE,16,,11,SSW
471,2,Albury,11,SSW,3,N,13,W
472,2,Albury,10,SSE,9,SE,13,W
474,2,Albury,13,W,10,SSE,12,SW
476,2,Albury,14,WNW,10,SSE,14,WNW
477,2,Albury,14,WNW,8,S,14,WNW
478,2,Albury,8,S,16,,13,W
479,2,Albury,6,NNW,0,E,6,NNW
481,2,Albury,0,E,16,,8,S
482,2,Albury,13,W,1,ENE,3,N
484,2,Albury,11,SSW,16,,15,WSW
485,2,Albury,10,SSE,10,SSE,4,NE
487,2,Albury,9,SE,16,,8,S
489,2,Albury,9,SE,9,SE,3,N
490,2,Albury,9,SE,10,SSE,1,ENE
492,2,Albury,3,N,5,NNE,14,WNW
493,2,Albury,7,NW,14,WNW,15,WSW
494,2,Albury,0,E,9,SE,10,SSE
495,2,Albury,14,WNW,4,NE,4,NE
496,2,Albury,14,WNW,7,NW,13,W
497,2,Albury,12,SW,13,W,12,SW
498,2,Albury,12,SW,11,SSW,13,W
499,2,Albury,10,SSE,0,E,11,SSW
501,2,Albury,10,SSE,8,S,10,SSE
504,2,Albury,2,ESE,16,,10,SSE
505,2,Albury,1,ENE,10,SSE,0,E
506,2,Albury,7,NW,1,ENE,11,SSW
507,2,Albury,15,WSW,16,,11,SSW
508,2,Albury,6,NNW,2,ESE,6,NNW
509,2,Albury,6,NNW,5,NNE,6,NNW
510,2,Albury,13,W,15,WSW,13,W
511,2,Albury,10,SSE,0,E,8,S
513,2,Albury,7,NW,4,NE,14,WNW
514,2,Albury,13,W,15,WSW,15,WSW
515,2,Albury,2,ESE,16,,2,ESE
517,2,Albury,11,SSW,4,NE,2,ESE
518,2,Albury,6,NNW,16,,4,NE
519,2,Albury,14,WNW,15,WSW,3,N
523,2,Albury,10,SSE,16,,16,
524,2,Albury,1,ENE,0,E,10,SSE
526,2,Albury,15,WSW,14,WNW,15,WSW
529,2,Albury,9,SE,0,E,9,SE
532,2,Albury,2,ESE,8,S,10,SSE
533,2,Albury,14,WNW,6,NNW,14,WNW
534,2,Albury,13,W,16,,7,NW
535,2,Albury,3,N,16,,15,WSW
539,2,Albury,2,ESE,2,ESE,2,ESE
543,2,Albury,1,ENE,16,,4,NE
544,2,Albury,3,N,0,E,9,SE
545,2,Albury,9,SE,11,SSW,10,SSE
548,2,Albury,13,W,16,,11,SSW
549,2,Albury,10,SSE,16,,9,SE
551,2,Albury,12,SW,2,ESE,15,WSW
552,2,Albury,12,SW,9,SE,1,ENE
553,2,Albury,8,S,16,,8,S
559,2,Albury,2,ESE,6,NNW,10,SSE
560,2,Albury,2,ESE,16,,0,E
562,2,Albury,6,NNW,0,E,0,E
565,2,Albury,14,WNW,14,WNW,7,NW
566,2,Albury,7,NW,16,,11,SSW
569,2,Albury,0,E,16,,0,E
570,2,Albury,1,ENE,0,E,0,E
571,2,Albury,5,NNE,0,E,9,SE
572,2,Albury,14,WNW,14,WNW,3,N
573,2,Albury,13,W,12,SW,7,NW
574,2,Albury,6,NNW,9,SE,15,WSW
576,2,Albury,3,N,10,SSE,6,NNW
577,2,Albury,5,NNE,16,,12,SW
579,2,Albury,6,NNW,16,,12,SW
580,2,Albury,0,E,10,SSE,16,
581,2,Albury,9,SE,10,SSE,16,
582,2,Albury,10,SSE,14,WNW,13,W
583,2,Albury,5,NNE,16,,14,WNW
584,2,Albury,2,ESE,16,,4,NE
585,2,Albury,1,ENE,16,,2,ESE
586,2,Albury,3,N,6,NNW,5,NNE
587,2,Albury,3,N,13,W,7,NW
588,2,Albury,9,SE,0,E,16,
589,2,Albury,14,WNW,7,NW,0,E
592,2,Albury,1,ENE,5,NNE,6,NNW
593,2,Albury,0,E,2,ESE,16,
594,2,Albury,1,ENE,4,NE,3,N
595,2,Albury,7,NW,8,S,8,S
601,2,Albury,13,W,8,S,3,N
603,2,Albury,10,SSE,16,,2,ESE
604,2,Albury,2,ESE,3,N,2,ESE
605,2,Albury,7,NW,16,,15,WSW
606,2,Albury,5,NNE,1,ENE,3,N
607,2,Albury,13,W,15,WSW,7,NW
608,2,Albury,14,WNW,3,N,15,WSW
611,2,Albury,16,,16,,3,N
612,2,Albury,15,WSW,3,N,14,WNW
616,2,Albury,0,E,7,NW,4,NE
617,2,Albury,6,NNW,0,E,3,N
618,2,Albury,5,NNE,4,NE,3,N
621,2,Albury,1,ENE,4,NE,4,NE
622,2,Albury,14,WNW,5,NNE,3,N
624,2,Albury,0,E,16,,4,NE
629,2,Albury,3,N,0,E,7,NW
631,2,Albury,14,WNW,7,NW,6,NNW
632,2,Albury,14,WNW,14,WNW,6,NNW
633,2,Albury,7,NW,6,NNW,14,WNW
635,2,Albury,15,WSW,1,ENE,13,W
636,2,Albury,15,WSW,13,W,7,NW
637,2,Albury,14,WNW,16,,7,NW
639,2,Albury,7,NW,11,SSW,12,SW
640,2,Albury,10,SSE,16,,13,W
642,2,Albury,3,N,4,NE,3,N
643,2,Albury,6,NNW,7,NW,13,W
644,2,Albury,7,NW,7,NW,13,W
646,2,Albury,5,NNE,2,ESE,1,ENE
647,2,Albury,1,ENE,9,SE,1,ENE
651,2,Albury,13,W,0,E,14,WNW
652,2,Albury,15,WSW,9,SE,9,SE
653,2,Albury,15,WSW,13,W,14,WNW
654,2,Albury,15,WSW,13,W,13,W
660,2,Albury,13,W,13,W,9,SE
662,2,Albury,4,NE,0,E,14,WNW
663,2,Albury,7,NW,8,S,6,NNW
668,2,Albury,6,NNW,0,E,14,WNW
669,2,Albury,4,NE,7,NW,4,NE
671,2,Albury,4,NE,10,SSE,5,NNE
672,2,Albury,4,NE,14,WNW,6,NNW
673,2,Albury,4,NE,2,ESE,9,SE
674,2,Albury,13,W,2,ESE,3,N
677,2,Albury,3,N,11,SSW,2,ESE
678,2,Albury,4,NE,13,W,4,NE
679,2,Albury,0,E,9,SE,5,NNE
681,2,Albury,15,WSW,5,NNE,0,E
682,2,Albury,13,W,6,NNW,13,W
683,2,Albury,14,WNW,6,NNW,4,NE
686,2,Albury,13,W,7,NW,14,WNW
688,2,Albury,9,SE,16,,10,SSE
689,2,Albury,3,N,16,,11,SSW
690,2,Albury,5,NNE,0,E,3,N
694,2,Albury,14,WNW,9,SE,7,NW
695,2,Albury,14,WNW,8,S,13,W
697,2,Albury,4,NE,0,E,1,ENE
698,2,Albury,4,NE,9,SE,1,ENE
699,2,Albury,6,NNW,3,N,6,NNW
701,2,Albury,12,SW,15,WSW,15,WSW
704,2,Albury,1,ENE,9,SE,9,SE
705,2,Albury,1,ENE,9,SE,5,NNE
706,2,Albury,13,W,9,SE,3,N
707,2,Albury,7,NW,3,N,15,WSW
709,2,Albury,15,WSW,0,E,6,NNW
710,2,Albury,3,N,10,SSE,5,NNE
712,2,Albury,1,ENE,0,E,1,ENE
713,2,Albury,3,N,14,WNW,14,WNW
718,2,Albury,9,SE,10,SSE,8,S
719,2,Albury,4,NE,0,E,10,SSE
720,2,Albury,3,N,0,E,13,W
722,2,Albury,3,N,1,ENE,5,NNE
723,2,Albury,3,N,5,NNE,5,NNE
725,2,Albury,15,WSW,6,NNW,1,ENE
726,2,Albury,3,N,9,SE,3,N
727,2,Albury,5,NNE,6,NNW,7,NW
729,2,Albury,9,SE,9,SE,4,NE
731,2,Albury,7,NW,2,ESE,8,S
732,2,Albury,5,NNE,9,SE,8,S
733,2,Albury,15,WSW,11,SSW,14,WNW
735,2,Albury,1,ENE,9,SE,4,NE
737,2,Albury,6,NNW,5,NNE,5,NNE
741,2,Albury,7,NW,13,W,14,WNW
742,2,Albury,14,WNW,2,ESE,12,SW
744,2,Albury,5,NNE,1,ENE,6,NNW
746,2,Albury,7,NW,4,NE,13,W
747,2,Albury,14,WNW,6,NNW,13,W
750,2,Albury,15,WSW,15,WSW,13,W
751,2,Albury,12,SW,2,ESE,9,SE
755,2,Albury,12,SW,0,E,13,W
757,2,Albury,10,SSE,9,SE,1,ENE
758,2,Albury,7,NW,3,N,12,SW
761,2,Albury,1,ENE,8,S,15,WSW
762,2,Albury,13,W,12,SW,15,WSW
765,2,Albury,10,SSE,1,ENE,12,SW
766,2,Albury,5,NNE,9,SE,3,N
767,2,Albury,5,NNE,5,NNE,12,SW
768,2,Albury,1,ENE,16,,0,E
769,2,Albury,1,ENE,9,SE,10,SSE
770,2,Albury,1,ENE,10,SSE,1,ENE
772,2,Albury,4,NE,4,NE,7,NW
776,2,Albury,15,WSW,8,S,7,NW
778,2,Albury,13,W,8,S,8,S
779,2,Albury,4,NE,0,E,9,SE
780,2,Albury,0,E,10,SSE,5,NNE
781,2,Albury,3,N,9,SE,6,NNW
782,2,Albury,4,NE,2,ESE,3,N
783,2,Albury,1,ENE,0,E,8,S
785,2,Albury,12,SW,8,S,13,W
786,2,Albury,12,SW,8,S,11,SSW
789,2,Albury,7,NW,1,ENE,6,NNW
791,2,Albury,8,S,10,SSE,8,S
792,2,Albury,7,NW,0,E,7,NW
793,2,Albury,5,NNE,5,NNE,3,N
795,2,Albury,14,WNW,8,S,9,SE
796,2,Albury,7,NW,4,NE,7,NW
798,2,Albury,10,SSE,10,SSE,14,WNW
799,2,Albury,9,SE,2,ESE,9,SE
800,2,Albury,5,NNE,8,S,0,E
806,2,Albury,2,ESE,2,ESE,3,N
809,2,Albury,2,ESE,9,SE,0,E
810,2,Albury,5,NNE,3,N,7,NW
813,2,Albury,12,SW,10,SSE,11,SSW
814,2,Albury,15,WSW,2,ESE,13,W
815,2,Albury,15,WSW,4,NE,15,WSW
816,2,Albury,14,WNW,8,S,6,NNW
817,2,Albury,13,W,10,SSE,3,N
818,2,Albury,14,WNW,11,SSW,4,NE
819,2,Albury,9,SE,10,SSE,2,ESE
822,2,Albury,15,WSW,2,ESE,15,WSW
826,2,Albury,9,SE,2,ESE,5,NNE
828,2,Albury,5,NNE,16,,6,NNW
830,2,Albury,0,E,16,,9,SE
831,2,Albury,1,ENE,16,,5,NNE
832,2,Albury,12,SW,16,,4,NE
833,2,Albury,10,SSE,8,S,9,SE
834,2,Albury,0,E,9,SE,4,NE
836,2,Albury,14,WNW,11,SSW,10,SSE
838,2,Albury,5,NNE,10,SSE,1,ENE
840,2,Albury,0,E,10,SSE,4,NE
845,2,Albury,10,SSE,6,NNW,9,SE
847,2,Albury,0,E,8,S,1,ENE
